date,status,flags,change.followup_7d.den,change.followup_7d.excluded,change.followup_7d.num,change.followup_7d.pct,change.followup_7d.population,change.loss_reason.den,change.loss_reason.num,change.loss_reason.pct,change.segment.den,change.segment.num,change.segment.pct,change.stalled_30d.count,change.stalled_30d.den,change.stalled_30d.excluded,change.stalled_30d.population,change.value_filled.den,change.value_filled.num,change.value_filled.pct,change.value_filled.unverified,executive.closed_novo.lost,executive.closed_novo.won,executive.pipeline_leads.count,executive.pipeline_value.count,executive.pipeline_value.leads,executive.pipeline_value.valued,executive.raw_backlog.count,executive.raw_backlog.novo_uncounted,executive.raw_backlog.pct_over_30,executive.tier_a_value.count,executive.tier_a_value.leads,operational.alert_flagged.count,operational.enviados_open.count,operational.enviados_open.stale_pct,operational.missing_values.count,operational.missing_values.den,operational.retificado_stalled_7d.count,operational.retificado_stalled_7d.eur,operational.retificado_value.count,operational.retificado_value.leads,operational.sla_48h.at_stage,operational.sla_48h.count,operational.sla_48h.den,operational.sla_48h.excluded
2026-06-02,measured,DQ-S6;not-comparable,371,,36,9.7,,,,4,529,0,0,305,529,,,,,57,True,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-07,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-14,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-20,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-21,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-28,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-29,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-03,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-04,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-05,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,measured,DQ-S6;not-comparable,,,,83,,,,4,,0,0,8,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,measured,not-comparable,69,,43,62.3,,1677,72,4.3,177,0,0,4,177,,,38,36,94.7,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-11,measured,not-comparable,71,,44,62.0,,1677,72,4.3,181,0,0,4,181,,,37,35,94.6,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-12,measured,not-comparable,71,,44,62.0,,1677,72,4.3,181,0,0,5,181,,,37,35,94.6,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,measured,not-comparable,74,,62,83.8,,1693,121,7.1,184,0,0,4,184,,,38,37,97.4,,,,,,,,,,,,,0,74,16.2,1,38,11,51118,227621,38,,1,2,
2026-07-14,measured,not-comparable,64,,40,62.5,,1712,121,7.1,170,0,0,3,170,,,35,35,100.0,,,,,,,,,,,,,0,64,37.5,0,35,11,52124,206859,35,,1,2,
2026-07-15,measured,not-comparable,68,,42,61.8,,1712,121,7.1,180,0,0,3,180,,,35,35,100.0,,,,,,,,,,,,,0,68,38.2,0,35,15,95221,207739,35,,1,1,
2026-07-16,measured,not-comparable,63,,41,65.1,,1727,122,7.1,168,0,0,3,168,,,28,27,96.4,,,,,,,,,,,,,0,63,34.9,1,28,10,66462,159731,28,,0,0,
2026-07-17,measured,not-comparable,76,,49,64.5,,1741,122,7.0,177,0,0,3,177,,,32,32,100.0,,,,,,,,,,,,,0,76,35.5,0,32,12,87326,172190,32,,0,3,
2026-07-18,measured,not-comparable,76,,46,60.5,,1741,122,7.0,177,0,0,3,177,,,32,32,100.0,,,,,,,,,,,,,0,76,39.5,0,32,14,97679,172190,32,,0,3,
2026-07-19,measured,not-comparable,76,,46,60.5,,1741,122,7.0,177,0,0,4,177,,,32,32,100.0,,,,,,,,,,,,,0,76,39.5,0,32,14,97679,172190,32,,0,3,
2026-07-20,measured,not-comparable,76,,46,60.5,,1741,122,7.0,176,0,0,4,176,,,32,32,100.0,,,,,,,,,,,,,0,76,39.5,0,32,14,97679,171253,32,,2,2,
2026-07-21,measured,not-comparable,94,,45,47.9,,1755,123,7.0,189,0,0,2,189,,,25,24,96.0,,,,,,,,,,,,,0,94,52.1,1,25,10,92847,129478,25,,0,5,
2026-07-22,measured,not-comparable,101,,44,43.6,,1755,123,7.0,192,0,0,2,192,,,26,26,100.0,,,,,,,,,,,,,0,101,56.4,0,26,10,92847,147148,26,,0,3,
2026-07-23,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-25,no snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-26,measured,not-comparable,89,,49,55.1,,1784,123,6.9,187,0,0,2,187,,,24,22,91.7,,,,,,,,,,,,,0,89,44.9,2,24,16,74028,95696,24,,1,6,
2026-07-27,measured,not-comparable,89,,49,55.1,,1784,123,6.9,187,0,0,2,187,,,24,22,91.7,,,,,,,,,,,,,0,89,44.9,2,24,16,74028,95696,24,,6,6,
2026-07-28,measured,DQ-002;not-comparable,82,,48,58.5,,1813,123,6.8,186,0,0,2,186,,,32,32,100.0,,,,,,,,,,,,,0,82,41.5,0,32,14,64436,455429,32,,0,0,
2026-07-29,measured,not-comparable,82,,40,48.8,,1813,123,6.8,187,0,0,2,187,,,32,32,100.0,,,,,,,,,,,,,0,82,51.2,0,32,16,78462,132989,32,,0,7,
